x	y
15.88697106595562	0
19.09732472946537	0
49.5693090068774	1
116.5488360956844	1
3.3659783138856447	0
24.751505796278224	0
-24.52367825916184	1
97.5562218844121	1
40.9693658257026	0
116.88041144838307	1
108.42439616628988	1
15.932943026169724	1
43.02171578767179	1
177.92190248180265	1
-10.466840302414795	1
75.25924608796402	1
41.11254350406822	0
74.6563911676829	0
115.05709332860697	0
163.74259978738226	1
-41.75136646855904	1
51.225601259025915	0
145.27644062962665	1
89.8668905577348	1
-16.882648613792824	1
155.55696189913618	1
103.78279344358492	1
23.136218559481115	0
118.32077347340953	1
162.6855011726946	1
119.130428419999	1
-75.0709080111132	1
95.71336441052286	1
69.88995791363709	1
53.90654541968023	1
56.17683126829433	0
58.379349099090476	0
15.534913995407933	1
-14.869540086021331	1
66.41644875958261	0
